hour,rms_damage,rms_fault
00,6.114011e-10,8.067624e-10
01,6.287122e-10,8.264129e-10
02,6.691444e-10,8.763064e-10
03,7.023963e-10,9.315689e-10
04,6.894580e-10,9.125501e-10
05,6.771969e-10,9.135816e-10
06,6.544140e-10,8.746100e-10
07,6.557494e-10,8.825271e-10
08,6.469107e-10,8.767375e-10
09,6.531148e-10,8.689703e-10
10,6.543205e-10,8.649028e-10
11,8.631312e-10,1.117875e-09
12,6.085987e-10,7.903090e-10
13,5.720108e-10,7.372457e-10
14,5.394740e-10,7.035982e-10
15,5.275736e-10,6.956372e-10
16,5.405251e-10,7.034161e-10
17,5.264546e-10,6.943025e-10
18,5.143150e-10,6.805519e-10
19,5.123862e-10,6.669392e-10
20,5.064613e-10,6.581245e-10
21,4.982455e-10,6.469123e-10
22,4.975635e-10,6.442294e-10
23,4.994741e-10,6.483359e-10
